x,y
145.4,40.9762
145.5,40.9901
145.6,41.0041
145.7,41.018
145.8,41.032
145.9,41.0459
146,41.0598
146.1,41.0737
146.2,41.0876
146.3,41.1015
146.4,41.1154
146.5,41.1293
146.6,41.1432
146.7,41.1571
146.8,41.171
146.9,41.1849
147,41.1988
147.1,41.2126
147.2,41.2265
147.3,41.2404
147.4,41.2542
147.5,41.2681
147.6,41.2819
147.7,41.2958
147.8,41.3096
147.9,41.3234
148,41.3373
148.1,41.3511
148.2,41.3649
148.3,41.3787
148.4,41.3925
148.5,41.4063
148.6,41.4201
148.7,41.4339
148.8,41.4477
148.9,41.4615
149,41.4753
149.1,41.4891
149.2,41.5028
149.3,41.5166
149.4,41.5304
149.5,41.5441
149.6,41.5579
149.7,41.5716
149.8,41.5854
149.9,41.5991
150,41.6128
150.1,41.6266
150.2,41.6403
150.3,41.654
150.4,41.6677
150.5,41.6815
150.6,41.6952
150.7,41.7089
150.8,41.7226
150.9,41.7363
151,41.75
151.1,41.7637
151.2,41.7773
151.3,41.791
151.4,41.8047
151.5,41.8184
151.6,41.832
151.7,41.8457
151.8,41.8593
151.9,41.873
152,41.8866
152.1,41.9003
152.2,41.9139
152.3,41.9275
152.4,41.9412
152.5,41.9548
152.6,41.9684
152.7,41.982
152.8,41.9956
152.9,42.0093
153,42.0229
153.1,42.0365
153.2,42.05
153.3,42.0636
153.4,42.0772
153.5,42.0908
153.6,42.1044
153.7,42.118
153.8,42.1315
153.9,42.1451
154,42.1586
154.1,42.1722
154.2,42.1857
154.3,42.1993
154.4,42.2128
154.5,42.2264
154.6,42.2399
154.7,42.2534
154.8,42.267
154.9,42.2805
155,42.294
155.1,42.3075
155.2,42.321
155.3,42.3345
155.4,42.348
155.5,42.3615
155.6,42.375
155.7,42.3885
155.8,42.402
155.9,42.4154
156,42.4289
156.1,42.4424
156.2,42.4558
156.3,42.4693
156.4,42.4827
156.5,42.4962
156.6,42.5096
156.7,42.5231
156.8,42.5365
156.9,42.55
157,42.5634
157.1,42.5768
157.2,42.5902
157.3,42.6037
157.4,42.6171
157.5,42.6305
157.6,42.6439
157.7,42.6573
157.8,42.6707
157.9,42.6841
158,42.6975
158.1,42.7108
158.2,42.7242
158.3,42.7376
158.4,42.751
158.5,42.7643
158.6,42.7777
158.7,42.791
158.8,42.8044
158.9,42.8178
159,42.8311
159.1,42.8444
159.2,42.8578
159.3,42.8711
159.4,42.8844
159.5,42.8978
159.6,42.9111
159.7,42.9244
159.8,42.9377
159.9,42.951
160,42.9643
160.1,42.9776
160.2,42.9909
160.3,43.0042
160.4,43.0175
160.5,43.0308
